,#,Name,GP,No.,Yds,Avg,TD,Lng,team
0,3,Jaydon Mickens,10,14,163,11.6,0,47,dc
1,12,Chris Rowland,10,11,114,10.4,0,17,dc
0,2,Chris Claybrooks,7,0,0,0.0,0,0,dallas
1,1,Joe Powell,10,0,0,0.0,0,0,dallas
0,3,Amari Rodgers,8,13,157,12.1,0,25,birmingham
1,13,Davion Davis,10,13,159,12.2,0,36,birmingham
0,1,Jahcour Pearson,10,25,295,11.8,0,26,st-louis
1,8,Blake Jackson,10,3,30,10.0,0,10,st-louis
0,83,Isiah Hennie,10,17,175,10.3,0,54,memphis
1,18,Kwamie Lassiter,8,1,0,0.0,0,0,memphis
2,33,Eric Garror,10,1,5,5.0,0,5,memphis
0,13,Xavier Malone,6,10,148,14.8,0,88,michigan
1,6,Devin Ross,8,2,2,1.0,0,2,michigan
0,11,Justin Hall,10,8,68,8.5,0,17,houston
1,15,Lawrence Keys,8,7,95,13.6,0,27,houston
0,5,Marquez Stevenson,9,13,80,6.2,0,29,san-antonio
1,87,Mathew Sexton,4,8,154,19.3,1,83,san-antonio
2,29,Sean Fresch,2,2,31,15.5,0,19,san-antonio
3,17,Greg Ward,7,1,7,7.0,0,7,san-antonio
