,#,Name,GP,No.,Yds,Avg,Lng,TB,FC,In20,team
0,47,Paxton Brooks,10,39,1645,42.2,56,2,0,11,dc
0,7,Marquette King,10,36,1709,47.5,69,5,0,8,dallas
0,15,Colby Wadman,10,29,1335,46.0,68,4,0,11,birmingham
0,16,Sterling Hofrichter,10,30,1431,47.7,63,2,0,10,st-louis
0,19,Matt Mengel,10,39,1595,40.9,69,0,0,7,memphis
1,49,Matt Coghlin,10,2,74,37.0,40,0,0,0,memphis
0,36,Seth Vernon,9,23,1044,45.4,58,4,0,8,michigan
0,47,Mike Rivers,10,42,2019,48.1,59,8,0,10,houston
0,9,Brad Wing,10,36,1734,48.2,69,3,0,12,san-antonio
1,14,Tristan Vizcaino,7,4,157,39.3,49,0,0,1,san-antonio
