,#,Name,GP,Tackles_SOLO,Tackles_A,Tackles,TFL,YDS,Sacks,Sacks_Yds,INT,INT_RYDS,BRKUP,Forced_Fumbles,Fumbles_Recovered,Fumbles_Yds,Misc_BK,Misc_Saf,team
0,57,Anthony Hines,8,36,17,53.0,5.0 , 31,3.0,23.0,0,0,0,0,2,51,0,0,dc
1,11,Momo Sanogo,10,14,27,41.0,0.0 , 0,0.0,0.0,0,0,0,0,0,0,0,0,dc
2,9,Deontay Anderson,9,24,16,40.0,1.0 , 5,0.0,0.0,0,0,3,1,0,0,0,0,dc
3,1,Bryce Thompson,9,21,9,30.0,4.0 , 14,1.0,6.0,0,0,3,0,0,0,0,0,dc
4,27,Kelvin Joseph,9,27,3,30.0,3.0 , 6,0.0,0.0,0,0,3,0,0,0,0,0,dc
5,24,Kiondre Thomas,8,20,8,28.0,2.0 , 5,0.0,0.0,1,20,1,1,0,0,0,0,dc
6,50,Derick Roberson,9,16,11,27.0,9.0 , 52,5.5,29.0,0,0,0,0,0,0,0,0,dc
7,7,Isaiah Johnson,4,16,6,22.0,0.0 , 0,0.0,0.0,0,0,0,1,1,0,0,0,dc
8,2,Deandre Baker,8,18,4,22.0,4.0 , 17,0.0,0.0,2,29,10,0,0,0,0,0,dc
9,95,Devonnsha Maxwell,10,9,11,20.0,3.0 , 5,0.0,0.0,0,0,0,0,0,0,1,0,dc
10,98,Kyle Phillips,10,9,11,20.0,5.0 , 25,1.0,18.0,0,0,0,0,0,0,0,0,dc
11,92,Malik Fisher,10,11,8,19.0,1.0 , 7,1.0,7.0,0,0,1,2,0,0,0,0,dc
12,8,Tayler Hawkins,5,13,6,19.0,0.0 , 0,0.0,0.0,0,0,0,0,0,0,0,0,dc
13,33,Shayne Simon,10,10,7,17.0,0.0 , 0,0.0,0.0,0,0,2,0,0,0,0,0,dc
14,90,Niles Scott,10,6,10,16.0,1.0 , 1,0.5,4.0,0,0,1,1,1,0,0,0,dc
15,48,Andre Mintze,9,11,4,15.0,6.0 , 20,5.5,39.5,0,0,0,2,2,-6,0,1,dc
16,26,Sam Kidd,4,5,6,11.0,2.0 , 11,0.0,0.0,1,3,2,0,1,0,0,0,dc
17,6,Ferrod Gardner,3,6,3,9.0,0.0 , 0,0.0,0.0,0,0,0,0,0,0,0,0,dc
18,44,Micah Baskerville,3,4,4,8.0,0.0 , 0,0.0,0.0,0,0,1,0,0,0,0,0,dc
19,91,Dennis Johnson,9,2,5,7.0,0.0 , 0,0.0,0.0,0,0,0,0,0,0,0,0,dc
20,45,Brian Abraham,6,4,3,7.0,2.0 , 2,0.0,0.0,0,0,0,0,0,0,0,0,dc
21,21,Trey Dean,1,5,1,6.0,2.0 , 12,0.0,0.0,0,0,0,0,0,0,0,0,dc
22,23,Willie Drew,7,4,0,4.0,0.0 , 0,0.0,0.0,1,17,2,0,0,0,0,0,dc
23,21,Montae Nicholson,1,2,0,2.0,0.0 , 0,0.0,0.0,0,0,0,0,0,0,0,0,dc
24,15,Davin Bellamy,1,1,0,1.0,0.0 , 0,0.0,0.0,0,0,0,0,0,0,0,0,dc
25,Team,Team,10,340,208,548.0,60.0 , 253,22.0,155.0,7,73,35,9,9,45,1,1,dc
26,Opponents,Opponents,10,334,240,574.0,40.0 , 143,10.0,58.0,4,42,44,7,6,35,1,0,dc
0,18,Donald Payne,10,36,30,66.0,7.0 , 11,0.0,0.0,1,4,4,0,0,0,0,0,dallas
1,5,Ajene Harris,10,36,10,46.0,3.0 , 5,0.0,0.0,3,121,12,1,1,0,0,0,dallas
2,46,Myles Dorn,10,27,12,39.0,2.0 , 6,1.0,5.0,0,0,4,1,0,0,0,0,dallas
