,#,Name,GP,REC,Yds,Avg,TD,Lng,Avg/Gm,FUM,LST,team
0,12,Chris Rowland,10,42,522,12.4,3,65,52.2,2 , 1,dc
1,3,Jaydon Mickens,10,21,222,10.6,0,35,22.2,3 , 1,dc
2,13,Javon Antonio,9,18,212,11.8,0,25,23.6,2 , 2,dc
3,19,Ty Scott,3,13,205,15.8,1,62,68.3,0 , 0,dc
4,88,Briley Moore,10,15,205,13.7,2,39,20.5,0 , 0,dc
5,87,Ben Bresnahan,10,10,163,16.3,1,53,16.3,0 , 0,dc
6,4,Abram Smith,10,8,82,10.3,0,15,8.2,1 , 1,dc
7,84,Mason Fairchild,8,4,26,6.5,0,14,3.3,0 , 0,dc
8,18,Spencer Sanders,1,1,14,14.0,0,14,14.0,0 , 0,dc
9,10,Jordan Ta'amu,9,1,9,9.0,1,9,1.0,0 , 0,dc
10,28,Darius Hagans,3,1,5,5.0,0,5,1.7,1 , 0,dc
11,Team,Team,10,192,2521,13.1,20,76,-,11 , 6,dc
12,Opponents,Opponents,10,173,1934,11.2,12,63,-,17 , 8,dc
0,8,Tyler Vaughns,10,41,475,11.6,4,41,47.5,3 , 0,dallas
1,21,Deontay Burnett,10,30,349,11.6,3,63,34.9,1 , 0,dallas
2,14,Isaiah Winstead,10,31,307,9.9,0,38,30.7,0 , 0,dallas
3,17,Dae Dae Hunter,10,28,231,8.3,0,26,23.1,0 , 0,dallas
4,3,JaVonta Payton,10,22,230,10.5,1,29,23.0,1 , 1,dallas
5,4,Kalen Ballage,6,10,46,4.6,0,15,7.7,1 , 1,dallas
6,11,Lujuan Winningham,10,3,25,8.3,0,12,2.5,0 , 0,dallas
7,6,Tony Jones,3,3,13,4.3,0,10,4.3,0 , 0,dallas
8,86,Curtis Hodges,4,0,0,0.0,0,0,0.0,0 , 0,dallas
9,Team,Team,10,225,2300,10.2,10,63,-,15 , 7,dallas
10,Opponents,Opponents,10,148,1841,12.4,10,54,-,15 , 9,dallas
0,88,Cade Johnson,8,17,298,17.5,2,57,37.3,0 , 0,birmingham
1,12,Jace Sternberger,10,17,233,13.7,2,37,23.3,1 , 1,birmingham
2,17,Marlon Williams,10,17,229,13.5,1,45,22.9,0 , 0,birmingham
3,13,Davion Davis,10,25,220,8.8,1,36,22.0,1 , 0,birmingham
4,84,Jalen Camp,10,15,197,13.1,0,47,19.7,0 , 0,birmingham
5,81,Jordan Thomas,10,12,186,15.5,1,33,18.6,1 , 0,birmingham
6,3,Amari Rodgers,8,14,175,12.5,2,43,21.9,1 , 0,birmingham
7,11,C.J. Marable,8,12,70,5.8,1,16,8.8,2 , 2,birmingham
8,23,Ricky Person,8,7,35,5.0,0,20,4.4,1 , 1,birmingham
9,85,Marcus Baugh,8,3,23,7.7,0,10,2.9,0 , 0,birmingham
10,34,Larry Rountree,5,4,14,3.5,0,6,2.8,0 , 0,birmingham
11,80,La'Michael Pettway,1,1,12,12.0,0,12,12.0,0 , 0,birmingham
12,Team,Team,10,176,2213,12.6,16,65,-,15 , 7,birmingham
13,Opponents,Opponents,10,183,1883,10.3,6,78,-,14 , 6,birmingham
0,88,Hakeem Butler,7,13,300,23.1,4,67,42.9,0 , 0,st-louis
1,1,Jahcour Pearson,10,30,219,7.3,1,33,21.9,2 , 1,st-louis
2,8,Blake Jackson,10,14,194,13.9,0,33,19.4,0 , 0,st-louis
3,2,Frank Darby,10,11,182,16.5,2,35,18.2,2 , 1,st-louis
4,12,Gary Jennings,9,5,123,24.6,0,58,13.7,1 , 1,st-louis
5,84,Jake Sutherland,10,11,88,8.0,0,20,8.8,0 , 0,st-louis
6,87,Chase Allen,9,2,11,5.5,0,6,1.2,0 , 0,st-louis
7,25,Kevon Latulas,4,1,1,1.0,0,1,0.3,0 , 0,st-louis
8,Team,Team,10,122,1456,11.9,7,67,-,13 , 6,st-louis
9,Opponents,Opponents,10,167,1752,10.5,12,65,-,13 , 8,st-louis
0,9,Jonathan Adams,10,34,443,13.0,2,39,44.3,0 , 0,memphis
1,18,Kwamie Lassiter,8,24,271,11.3,1,29,33.9,2 , 2,memphis
2,1,Kai Locksley,9,13,180,13.8,0,30,20.0,0 , 0,memphis
3,86,Isaiah Washington,6,13,144,11.1,0,37,24.0,0 , 0,memphis
4,82,Elijah Stove,7,7,132,18.9,0,49,18.9,0 , 0,memphis
5,83,Isiah Hennie,10,7,45,6.4,0,14,4.5,2 , 1,memphis
6,88,Jay Jay Wilson,10,6,44,7.3,1,14,4.4,1 , 1,memphis
7,89,Chris Pierce,9,4,30,7.5,0,12,3.3,0 , 0,memphis
8,36,Jalen Jackson,6,4,29,7.3,0,15,4.8,0 , 0,memphis
9,2,Daewood Davis,4,1,5,5.0,0,5,1.3,0 , 0,memphis
10,Team,Team,10,159,1662,10.5,5,78,-,12 , 8,memphis
11,Opponents,Opponents,10,173,1675,9.7,14,45,-,9 , 0,memphis
0,4,Siaosi Mariner,10,31,527,17.0,1,45,52.7,0 , 0,michigan
1,7,Jaylon Moore,9,18,215,11.9,1,27,23.9,0 , 0,michigan
2,80,Cole Hikutini,9,13,163,12.5,1,35,18.1,1 , 0,michigan
3,86,Samson Nacua,9,9,121,13.4,2,25,13.4,1 , 1,michigan
4,6,Devin Ross,8,6,91,15.2,1,35,11.4,2 , 1,michigan
5,85,Jalen Wydermyer,4,5,63,12.6,1,14,15.8,0 , 0,michigan
6,28,Nate McCrary,10,9,57,6.3,0,12,5.7,1 , 0,michigan
7,26,Matthew Colburn,3,7,43,6.1,0,13,14.3,0 , 0,michigan
8,13,Xavier Malone,6,1,24,24.0,0,24,4.0,2 , 0,michigan
9,Team,Team,10,172,1993,11.6,14,45,-,16 , 5,michigan
10,Opponents,Opponents,10,190,2204,11.6,13,67,-,9 , 2,michigan
0,11,Justin Hall,10,62,501,8.1,3,46,50.1,0 , 0,houston
1,3,Keke Chism,10,31,299,9.6,4,33,29.9,0 , 0,houston
2,18,Emmanuel Butler,10,11,182,16.5,2,41,18.2,0 , 0,houston
3,15,Lawrence Keys,8,17,179,10.5,0,29,22.4,2 , 1,houston
4,22,Kirk Merritt,7,13,124,9.5,0,37,17.7,0 , 0,houston
5,86,Josh Pederson,8,11,98,8.9,0,19,12.3,1 , 0,houston
6,6,Zaquandre White,8,15,98,6.5,0,18,12.3,0 , 0,houston
7,19,T.J. Vasher,6,3,83,27.7,0,46,13.8,0 , 0,houston
8,7,Cyril Grayson,4,6,79,13.2,0,32,19.8,0 , 0,houston
9,27,Lorenzo Lingard,10,9,56,6.2,0,12,5.6,0 , 0,houston
10,16,Marcus Simms,6,5,51,10.2,0,29,8.5,0 , 0,houston
11,89,Cam Sutton,6,4,39,9.8,0,13,6.5,0 , 0,houston
12,Team,Team,10,194,1854,9.6,9,46,-,11 , 2,houston
13,Opponents,Opponents,10,179,2031,11.3,11,53,-,12 , 8,houston
0,13,Jontre Kirklin,10,35,284,8.1,0,24,28.4,1 , 1,san-antonio
1,5,Marquez Stevenson,9,13,134,10.3,0,33,14.9,1 , 1,san-antonio
2,17,Greg Ward,7,17,116,6.8,1,15,16.6,0 , 0,san-antonio
3,4,Dee Anderson,4,4,53,13.3,1,38,13.3,0 , 0,san-antonio
4,41,Anthony McFarland,7,8,39,4.9,1,15,5.6,0 , 0,san-antonio
5,88,Alize Mack,8,4,28,7.0,1,9,3.5,0 , 0,san-antonio
6,7,John Lovett,3,3,24,8.0,0,16,8.0,0 , 0,san-antonio
7,26,Jaden Shirden,3,4,16,4.0,0,6,5.3,0 , 0,san-antonio
8,87,Mathew Sexton,4,3,15,5.0,0,9,3.8,0 , 0,san-antonio
9,81,Ra'Shaun Henry,2,2,13,6.5,0,10,6.5,0 , 0,san-antonio
10,27,Aidan Robbins,6,2,9,4.5,0,7,1.5,1 , 1,san-antonio
11,80,Racey McMath,3,1,8,8.0,0,8,2.7,0 , 0,san-antonio
12,Team,Team,10,156,1417,9.1,5,56,-,9 , 5,san-antonio
13,Opponents,Opponents,10,183,2096,11.5,8,76,-,13 , 5,san-antonio
