,#,Name,GP,No.,Yds,Avg,Lng,TB,FC,In20,team
0,47,Paxton Brooks,10,39,1645,42.2,56,2,0,11,dc
1,Team,Team,10,39,1645,42.2,56,2,2,11,dc
2,Opponents,Opponents,10,34,1607,47.3,63,3,5,10,dc
0,7,Marquette King,10,36,1709,47.5,69,5,0,8,dallas
1,Team,Team,10,36,1709,47.5,69,5,6,8,dallas
2,Opponents,Opponents,10,42,1862,44.3,69,5,3,13,dallas
0,15,Colby Wadman,10,29,1335,46.0,68,4,0,11,birmingham
1,Team,Team,10,29,1335,46.0,68,4,3,11,birmingham
2,Opponents,Opponents,10,43,1858,43.2,63,4,6,13,birmingham
0,16,Sterling Hofrichter,10,30,1431,47.7,63,2,0,10,st-louis
1,Team,Team,10,30,1431,47.7,63,2,1,10,st-louis
2,Opponents,Opponents,10,37,1737,46.9,68,3,2,6,st-louis
0,19,Matt Mengel,10,39,1595,40.9,69,0,0,7,memphis
1,49,Matt Coghlin,10,2,74,37.0,40,0,0,0,memphis
2,Team,Team,10,42,1669,39.7,69,0,0,7,memphis
3,Opponents,Opponents,10,38,1721,45.3,59,9,4,13,memphis
0,36,Seth Vernon,9,23,1044,45.4,58,4,0,8,michigan
1,Team,Team,10,26,1137,43.7,58,4,6,9,michigan
2,Opponents,Opponents,10,31,1388,44.8,59,3,0,7,michigan
0,47,Mike Rivers,10,42,2019,48.1,59,8,0,10,houston
1,Team,Team,10,42,2019,48.1,59,8,3,10,houston
2,Opponents,Opponents,10,30,1301,43.4,69,1,1,10,houston
0,9,Brad Wing,10,36,1734,48.2,69,3,0,12,san-antonio
1,14,Tristan Vizcaino,7,4,157,39.3,49,0,0,1,san-antonio
2,Team,Team,10,40,1891,47.3,69,3,1,13,san-antonio
3,Opponents,Opponents,10,29,1362,47.0,69,0,1,7,san-antonio
